IndexNote;IndexClient;nbcouverts;DateDepart;DateArrivee;NbAdultes;NbEnfants;Nuitees;IModeReglement;DatePrestation;PrixUnitaire;Quantite;IProduitVente;CodeStatistique;LibelleStatistique;IndexDate;IndexMeteo
29;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-15;55;2;179;FORF;FORFAIT;165;166
29;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-15;55;2;179;FORF;FORFAIT;165;166
29;16;2;2017-06-17;2017-06-10;2;0;7;1;2017-06-16;55;2;179;FORF;FORFAIT;166;167
29;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-16;55;2;179;FORF;FORFAIT;166;167
29;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-16;55;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
30;17;2;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167
32;16;1;2017-06-17;2017-06-10;1;0;7;2;2017-06-10;70;1;179;FORF;FORFAIT;160;161
32;16;1;2017-06-19;2017-06-17;1;0;2;2;2017-06-10;70;1;179;FORF;FORFAIT;160;161
32;16;1;2017-06-17;2017-06-10;1;0;7;2;2017-06-11;70;1;179;FORF;FORFAIT;161;162
32;16;1;2017-06-19;2017-06-17;1;0;2;2;2017-06-11;70;1;179;FORF;FORFAIT;161;162
32;16;1;2017-06-17;2017-06-10;1;0;7;2;2017-06-12;70;1;179;FORF;FORFAIT;162;163
32;16;1;2017-06-19;2017-06-17;1;0;2;2;2017-06-12;70;1;179;FORF;FORFAIT;162;163
32;16;1;2017-06-17;2017-06-10;1;0;7;2;2017-06-13;70;1;179;FORF;FORFAIT;163;164
32;16;1;2017-06-19;2017-06-17;1;0;2;2;2017-06-13;70;1;179;FORF;FORFAIT;163;164
32;16;1;2017-06-17;2017-06-10;1;0;7;2;2017-06-14;70;1;179;FORF;FORFAIT;164;165
32;16;1;2017-06-19;2017-06-17;1;0;2;2;2017-06-14;70;1;179;FORF;FORFAIT;164;165
32;16;1;2017-06-17;2017-06-10;1;0;7;2;2017-06-15;70;1;179;FORF;FORFAIT;165;166
32;16;1;2017-06-19;2017-06-17;1;0;2;2;2017-06-15;70;1;179;FORF;FORFAIT;165;166
32;16;1;2017-06-17;2017-06-10;1;0;7;2;2017-06-16;55;2;179;FORF;FORFAIT;166;167
32;16;1;2017-06-19;2017-06-17;1;0;2;2;2017-06-16;55;2;179;FORF;FORFAIT;166;167
32;16;1;2017-06-17;2017-06-10;1;0;7;2;2017-06-17;55;2;179;FORF;FORFAIT;167;168
32;16;1;2017-06-19;2017-06-17;1;0;2;2;2017-06-17;55;2;179;FORF;FORFAIT;167;168
33;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-10;55;2;179;FORF;FORFAIT;160;161
33;16;2;2017-06-17;2017-06-10;2;0;7;2;2017-06-10;55;2;179;FORF;FORFAIT;160;161
33;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-11;55;2;179;FORF;FORFAIT;161;162
33;16;2;2017-06-17;2017-06-10;2;0;7;2;2017-06-11;55;2;179;FORF;FORFAIT;161;162
33;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-12;55;2;179;FORF;FORFAIT;162;163
33;16;2;2017-06-17;2017-06-10;2;0;7;2;2017-06-12;55;2;179;FORF;FORFAIT;162;163
33;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-13;55;2;179;FORF;FORFAIT;163;164
33;16;2;2017-06-17;2017-06-10;2;0;7;2;2017-06-13;55;2;179;FORF;FORFAIT;163;164
33;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-14;55;2;179;FORF;FORFAIT;164;165
33;16;2;2017-06-17;2017-06-10;2;0;7;2;2017-06-14;55;2;179;FORF;FORFAIT;164;165
33;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-15;55;2;179;FORF;FORFAIT;165;166
33;16;2;2017-06-17;2017-06-10;2;0;7;2;2017-06-15;55;2;179;FORF;FORFAIT;165;166
33;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-16;55;2;179;FORF;FORFAIT;166;167
33;16;2;2017-06-17;2017-06-10;2;0;7;2;2017-06-16;55;2;179;FORF;FORFAIT;166;167
34;16;2;2017-06-17;2017-06-10;2;0;7;2;2017-06-10;55;2;179;FORF;FORFAIT;160;161
34;16;2;2017-06-17;2017-06-10;2;0;7;2;2017-06-11;55;2;179;FORF;FORFAIT;161;162
34;16;2;2017-06-17;2017-06-10;2;0;7;2;2017-06-12;55;2;179;FORF;FORFAIT;162;163
34;16;2;2017-06-17;2017-06-10;2;0;7;2;2017-06-13;55;2;179;FORF;FORFAIT;163;164
34;16;2;2017-06-17;2017-06-10;2;0;7;2;2017-06-14;55;2;179;FORF;FORFAIT;164;165
34;16;2;2017-06-17;2017-06-10;2;0;7;2;2017-06-15;55;2;179;FORF;FORFAIT;165;166
34;16;2;2017-06-17;2017-06-10;2;0;7;2;2017-06-16;55;2;179;FORF;FORFAIT;166;167
35;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-10;55;2;179;FORF;FORFAIT;160;161
35;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-11;55;2;179;FORF;FORFAIT;161;162
35;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-12;55;2;179;FORF;FORFAIT;162;163
35;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-13;55;2;179;FORF;FORFAIT;163;164
35;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-14;55;2;179;FORF;FORFAIT;164;165
35;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-15;55;2;179;FORF;FORFAIT;165;166
35;16;2;2017-06-17;2017-06-10;2;0;7;3;2017-06-16;55;2;179;FORF;FORFAIT;166;167
36;16;1;2017-06-17;2017-06-10;1;0;7;2;2017-06-10;70;1;179;FORF;FORFAIT;160;161
36;16;1;2017-06-17;2017-06-10;1;0;7;2;2017-06-11;70;1;179;FORF;FORFAIT;161;162
36;16;1;2017-06-17;2017-06-10;1;0;7;2;2017-06-12;70;1;179;FORF;FORFAIT;162;163
36;16;1;2017-06-17;2017-06-10;1;0;7;2;2017-06-13;70;1;179;FORF;FORFAIT;163;164
36;16;1;2017-06-17;2017-06-10;1;0;7;2;2017-06-14;70;1;179;FORF;FORFAIT;164;165
36;16;1;2017-06-17;2017-06-10;1;0;7;2;2017-06-15;70;1;179;FORF;FORFAIT;165;166
36;16;1;2017-06-17;2017-06-10;1;0;7;2;2017-06-16;70;1;179;FORF;FORFAIT;166;167
