IndexDate,Annee,Mois,Jour,Date,VacancesScolaires
176,2017,06,26,26/06/2017,false
177,2017,06,27,27/06/2017,false
178,2017,06,28,28/06/2017,false
179,2017,06,29,29/06/2017,false
180,2017,06,30,30/06/2017,false
181,2017,07,01,01/07/2017,false
182,2017,07,02,02/07/2017,false
183,2017,07,03,03/07/2017,false
184,2017,07,04,04/07/2017,false
185,2017,07,05,05/07/2017,false
186,2017,07,06,06/07/2017,false
187,2017,07,07,07/07/2017,false
188,2017,07,08,08/07/2017,true
189,2017,07,09,09/07/2017,true
190,2017,07,10,10/07/2017,true
191,2017,07,11,11/07/2017,true
192,2017,07,12,12/07/2017,true
193,2017,07,13,13/07/2017,true
194,2017,07,14,14/07/2017,true
195,2017,07,15,15/07/2017,true
196,2017,07,16,16/07/2017,true
197,2017,07,17,17/07/2017,true
198,2017,07,18,18/07/2017,true
199,2017,07,19,19/07/2017,true
200,2017,07,20,20/07/2017,true
201,2017,07,21,21/07/2017,true
202,2017,07,22,22/07/2017,true
203,2017,07,23,23/07/2017,true
204,2017,07,24,24/07/2017,true
205,2017,07,25,25/07/2017,true
206,2017,07,26,26/07/2017,true
207,2017,07,27,27/07/2017,true
208,2017,07,28,28/07/2017,true
209,2017,07,29,29/07/2017,true
210,2017,07,30,30/07/2017,true
211,2017,07,31,31/07/2017,true
212,2017,08,01,01/08/2017,true
213,2017,08,02,02/08/2017,true
214,2017,08,03,03/08/2017,true
215,2017,08,04,04/08/2017,true
216,2017,08,05,05/08/2017,true
217,2017,08,06,06/08/2017,true
218,2017,08,07,07/08/2017,true
219,2017,08,08,08/08/2017,true
220,2017,08,09,09/08/2017,true
221,2017,08,10,10/08/2017,true
222,2017,08,11,11/08/2017,true
223,2017,08,12,12/08/2017,true
224,2017,08,13,13/08/2017,true
225,2017,08,14,14/08/2017,true
226,2017,08,15,15/08/2017,true
227,2017,08,16,16/08/2017,true
228,2017,08,17,17/08/2017,true
