DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,PRECIP_TOTAL_DAY_MM,CLOUDCOVER_AVG_PERCENT,IndexDate
2017-01-01,10,5,4,0,0,0
2017-01-02,6,2,4,0,34,1
2017-01-03,-1,-1,10,0,10375,2
2017-01-04,1,-1,8,0.1,15,3
2017-01-05,-1,-3,18,0.3,40125,4
2017-01-06,-4,-5,9,0,4125,5
2017-01-07,-1,-4,7,0,6.25,6
2017-01-08,-1,-2,9,0.5,58.75,7
2017-01-09,-1,-3,7,0,16375,8
2017-01-10,2,-1,5,6,63.25,9
2017-01-11,3,-2,5,1.2,28875,10
2017-01-12,8,4,6,7.3,53.5,11
2017-01-13,1,-4,12,27.2,99875,12
2017-01-14,-2,-5,11,19.5,93.25,13
2017-01-15,-3,-6,9,0.7,41.25,14
2017-01-16,-4,-7,11,0.2,18.5,15
2017-01-17,-5,-9,9,0,19.25,16
2017-01-18,-2,-5,7,0,13875,17
2017-01-19,2,-3,5,0,7.75,18
2017-01-20,4,-1,6,0,6875,19
2017-01-21,5,0,8,0,37125,20
2017-01-22,4,0,5,0,51375,21
2017-01-23,3,-1,5,0,47,22
2017-01-24,-1,-4,7,0,10625,23
2017-01-25,-2,-5,5,0,32625,24
2017-01-26,5,-1,7,0,21125,25
2017-01-27,6,3,10,0,50.5,26
2017-01-28,8,4,7,0,48.75,27
2017-01-29,7,3,5,0,45125,28
2017-01-30,7,5,8,3.2,46125,29
2017-01-31,7,4,7,2.4,48375,30
2017-02-01,11,6,8,0,21375,31
2017-02-02,13,7,11,0.1,17.25,32
2017-02-03,8,5,11,15.4,51.25,33
2017-02-04,7,5,23,6.5,51625,34
2017-02-05,7,5,7,24.2,73.5,35
2017-02-06,2,0,12,15.5,97375,36
2017-02-07,6,2,5,7.8,76125,37
2017-02-08,3,0,9,10.7,100,38
2017-02-09,1,-2,7,2,83375,39
2017-02-10,5,1,4,2.3,45875,40
2017-02-11,7,2,8,0.3,43375,41
