DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,PRECIP_TOTAL_DAY_MM,CLOUDCOVER_AVG_PERCENT,IndexDate
2017-02-12,11,6,9,0.3,31.25,42
2017-02-13,12,6,9,0,23.75,43
2017-02-14,8,6,8,0.3,34375,44
2017-02-15,10,5,5,0,29875,45
2017-02-16,11,6,3,0,10.75,46
2017-02-17,8,3,9,0.1,31.25,47
2017-02-18,8,3,5,0,10125,48
2017-02-19,9,5,6,0,3.5,49
2017-02-20,6,3,9,0,8.5,50
2017-02-21,11,6,9,0,43.75,51
2017-02-22,10,9,7,0,14125,52
2017-02-23,17,11,14,0,12625,53
2017-02-24,6,0,14,2.2,66.25,54
2017-02-25,6,4,5,0,12.75,55
2017-02-26,11,10,3,0,10.75,56
2017-02-27,11,8,15,0,10,57
2017-02-28,8,2,24,18.8,73.5,58
2017-03-01,4,1,11,12.1,69.75,59
2017-03-02,9,6,6,15.6,59625,60
2017-03-03,13,8,13,0,10.75,61
2017-03-04,8,2,17,11.5,39.5,62
2017-03-05,6,2,22,4.9,55875,63
2017-03-06,7,2,36,37.8,90,64
2017-03-07,1,-2,10,22.2,90.25,65
2017-03-08,6,6,5,1.2,47375,66
2017-03-09,10,6,9,0,44875,67
2017-03-10,11,7,12,0,16.25,68
2017-03-11,14,11,4,0,19375,69
2017-03-12,12,9,6,0,18875,70
2017-03-13,11,8,10,0,32375,71
2017-03-14,10,7,9,0,6.5,72
2017-03-15,12,10,7,0,8,73
2017-03-16,15,13,4,0,4125,74
2017-03-17,15,14,5,0,5125,75
2017-03-18,9,6,9,1.6,60625,76
2017-03-19,10,7,12,1.1,88.25,77
2017-03-20,12,8,8,0,64125,78
2017-03-21,10,7,7,0.3,70,79
2017-03-22,9,5,6,4.3,76.5,80
2017-03-23,13,11,7,2.9,29.75,81
2017-03-24,12,9,4,3.4,60125,82
2017-03-25,15,4,9,13.6,51.5,83
2017-03-26,10,8,6,4.7,43625,84
2017-03-27,11,4,7,0.2,79375,85
2017-03-28,11,4,6,0,86.25,86
2017-03-29,14,4,9,0,88375,87
2017-03-30,20,6,7,0,82.75,88
2017-03-31,13,6,13,0,80875,89
2017-04-01,6,2,6,7.1,97875,90
2017-04-02,8,2,11,4.9,100,91
2017-04-03,12,4,9,0.5,100,92
2017-04-04,11,5,12,0.9,100,93
2017-04-05,11,2,17,0.3,100,94
2017-04-06,5,2,12,0.1,75,95
2017-04-07,9,4,9,0,50,96
2017-04-08,12,6,6,1.5,29125,97
2017-04-09,14,9,7,2.9,37.5,98
2017-04-10,13,8,8,2.4,20875,99
2017-04-11,9,3,11,1.2,100,100
2017-04-12,15,5,7,0,62.5,101
2017-04-13,14,6,12,0.2,50,102
2017-04-14,12,6,10,0.2,62.5,103
2017-04-15,10,6,11,2.1,87.5,104
2017-04-16,10,3,12,1.1,100,105
2017-04-17,10,3,12,0.2,37.5,106
2017-04-18,7,2,24,0,41625,107
2017-04-19,6,-2,25,0,0,108
2017-04-20,7,-3,16,0,0,109
2017-04-21,11,1,8,0,0,110
2017-04-22,14,5,11,0,8375,111
2017-04-23,14,5,13,0,25,112
2017-04-24,17,6,14,0.2,79125,113
2017-04-25,12,8,15,6.3,70875,114
2017-04-26,6,0,8,5.9,100,115
2017-04-27,4,-2,13,5.3,100,116
2017-04-28,3,-2,10,4.9,91625,117
2017-04-29,10,0,8,0,2375,118
2017-04-30,11,5,17,0,7,119
2017-05-01,4,-4,7,22.5,58.75,120
2017-05-02,5,-1,15,11.6,48375,121
2017-05-03,9,2,7,2.6,44,122
2017-05-04,6,1,8,11.5,21.75,123
2017-05-05,13,2,6,0.2,4.25,124
2017-05-06,9,-2,9,32.3,52875,125
2017-05-07,6,1,10,3.8,86375,126
2017-05-08,8,4,14,3.1,96375,127
2017-05-09,9,1,11,0.2,35.25,128
2017-05-10,15,5,12,2.2,17875,129
2017-05-11,11,7,14,21,47125,130
2017-05-12,9,3,8,26.1,46,131
2017-05-13,11,4,6,4,24.25,132
2017-05-14,11,5,8,1.9,14625,133
2017-05-15,13,6,13,0.2,0.75,134
2017-05-16,16,9,6,1.7,7,135
2017-05-17,17,10,9,9.9,15875,136
2017-05-18,16,10,13,9.9,33.5,137
2017-05-19,10,-1,9,16.6,48.25,138
2017-05-20,8,2,11,0.8,36.75,139
2017-05-21,13,3,7,0,7125,140
2017-05-22,16,8,8,0.2,4.25,141
2017-05-23,16,9,13,1.1,20.25,142
2017-05-24,17,9,12,0.5,36.5,143
2017-05-25,18,11,10,0,17.25,144
2017-05-26,18,11,6,2.5,14375,145
2017-05-27,19,12,6,5.9,13.75,146
2017-05-28,23,12,8,5.9,11,147
2017-05-29,24,13,9,3.9,13,148
2017-05-30,18,13,7,4.2,18375,149
2017-05-31,17,13,5,13.8,35125,150
2017-06-01,17,12,5,9.2,28125,151
2017-06-02,18,10,6,5.3,7.75,152
2017-06-03,18,12,13,12.6,30.25,153
2017-06-04,14,11,11,15.5,82,154
2017-06-05,14,10,8,1.8,72125,155
2017-06-06,13,10,13,12.3,32625,156
2017-06-07,14,5,11,0.4,32.75,157
2017-06-08,18,7,9,0,0,158
2017-06-09,17,11,6,0.1,0,159
2017-06-10,22,13,10,0,125,160
2017-06-11,26,14,9,0.5,7.25,161
2017-06-12,21,16,9,2,14625,162
2017-06-13,22,14,6,2.6,11.5,163
2017-06-14,22,16,7,3.7,8625,164
2017-06-15,21,14,7,1.7,1.25,165
2017-06-16,20,15,16,0.5,34,166
2017-06-17,17,11,14,0,30.5,167
2017-06-18,21,12,7,0.1,12625,168
2017-06-19,22,15,8,2.5,6,169
2017-06-20,27,14,7,0.1,0,170
2017-06-21,23,16,7,3.6,1.25,171
2017-06-22,24,16,5,1.3,1,172
2017-06-23,23,17,8,3.8,1625,173
2017-06-24,24,16,8,0.8,29,174
2017-06-25,21,13,10,3.8,37875,175
2017-06-26,20,13,7,4.4,16875,176
2017-06-27,22,14,11,5.7,17875,177
2017-06-28,17,6,11,16.2,37.75,178
2017-06-29,11,6,12,14.2,34.25,179
2017-06-30,13,6,14,5.3,18625,180
2017-07-01,13,8,9,6.2,60.75,181
2017-07-02,14,10,12,2.2,88875,182
2017-07-03,19,14,10,0,45.5,183
2017-07-04,25,21,6,1.6,6.5,184
2017-07-05,26,21,7,0.1,125,185
2017-07-06,27,20,9,0,4125,186
2017-07-07,27,21,6,0,6375,187
2017-07-08,30,23,7,0.2,12.75,188
2017-07-09,26,19,8,8.3,35875,189
2017-07-10,23,17,6,9.3,16.5,190
2017-07-11,22,18,8,9.5,23,191
2017-07-12,23,19,9,0.4,12375,192
2017-07-13,19,14,9,0.8,58875,193
2017-07-14,18,12,11,0.8,66,194
2017-07-15,19,14,15,0,4.25,195
2017-07-16,22,16,9,0,0.5,196
2017-07-17,25,20,6,0.9,19375,197
2017-07-18,27,20,13,1.2,0.5,198
2017-07-19,27,20,16,0.2,2625,199
2017-07-20,27,21,6,3,23625,200
2017-07-21,26,19,6,15.6,31375,201
2017-07-22,30,22,6,3.6,16875,202
2017-07-23,26,19,8,6.3,21,203
2017-07-24,18,11,8,11.3,48875,204
2017-07-25,15,10,7,10.4,68625,205
2017-07-26,20,15,11,0.4,19.25,206
2017-07-27,23,15,7,0,15.25,207
2017-07-28,25,17,7,0.1,8.5,208
2017-07-29,28,22,6,1.6,6.5,209
2017-07-30,30,24,10,1.3,1875,210
2017-07-31,34,28,13,1,8625,211
2017-08-01,36,28,15,0.2,4125,212
2017-08-02,36,27,6,0,0,213
2017-08-03,36,28,11,0.3,4.25,214
2017-08-04,34,27,7,4.9,8125,215
2017-08-05,33,27,10,0.7,7,216
2017-08-06,27,20,9,0.3,43625,217
2017-08-07,31,23,6,0,3,218
2017-08-08,22,19,7,21.1,49,219
2017-08-09,26,18,6,0.9,26.75,220
2017-08-10,24,15,5,1.8,47.25,221
2017-08-11,17,11,4,6.2,78.25,222
2017-08-12,26,14,8,0,8,223
2017-08-13,28,19,8,0,8.25,224
2017-08-14,31,22,8,0,3375,225
2017-08-15,33,24,10,0.3,3,226
2017-08-16,30,23,6,2.6,11.25,227
2017-08-17,32,23,6,0,0,228
2017-08-18,32,25,14,4.1,18125,229
2017-08-19,25,19,8,1.9,56125,230
2017-08-20,26,18,12,0,1375,231
2017-08-21,29,18,8,0,0,232
2017-08-22,33,22,5,0,0,233
2017-08-23,34,24,5,0.3,0.5,234
2017-08-24,31,23,5,0.5,31.25,235
2017-08-25,34,25,10,0,0,236
2017-08-26,35,25,9,0,0,237
2017-08-27,35,26,4,0.1,4625,238
2017-08-28,35,24,5,0.5,9.5,239
2017-08-29,36,26,6,0,0,240
2017-08-30,32,24,14,1.4,24.25,241
2017-08-31,18,16,6,19.5,78,242
2017-09-01,17,14,5,4.3,75,243
2017-09-02,16,13,8,16.2,51875,244
2017-09-03,22,14,7,0.1,19,245
2017-09-04,26,19,5,0,19375,246
2017-09-05,28,21,6,0,6,247
2017-09-06,20,16,6,1.4,67.75,248
2017-09-07,20,14,8,0,45625,249
2017-09-08,23,17,6,0,19.75,250
2017-09-09,14,12,6,27.3,51375,251
2017-09-10,16,12,6,0,80,252
2017-09-11,18,12,6,3.4,51,253
2017-09-12,18,12,6,15,46375,254
2017-09-13,22,14,7,0,36.75,255
2017-09-14,16,12,9,25.8,34,256
2017-09-15,17,12,4,0,0,257
2017-09-16,18,12,6,0,13875,258
2017-09-17,17,13,10,0,41.75,259
2017-09-18,16,12,6,6.1,46,260
2017-09-19,12,10,7,4,63625,261
2017-09-20,18,10,9,0,15125,262
2017-09-21,24,15,4,0,0,263
2017-09-22,23,17,6,0,0,264
2017-09-23,23,17,5,0,3625,265
2017-09-24,24,18,6,0,13,266
2017-09-25,22,17,4,0,17,267
2017-09-26,21,15,6,0,37,268
2017-09-27,23,17,5,0,15.25,269
2017-09-28,25,18,5,0,0,270
2017-09-29,26,19,4,0,19125,271
2017-09-30,21,13,8,8.6,49125,272
2017-10-01,21,13,6,0,48.25,273
2017-10-02,18,12,3,6.8,78.5,274
2017-10-03,18,17,5,19.2,69.25,275
2017-10-04,22,13,4,0,24875,276
2017-10-05,24,17,6,0,0,277
2017-10-06,16,12,15,0,32.5,278
2017-10-07,17,10,6,0,24.5,279
2017-10-08,17,13,7,0,40.5,280
2017-10-09,16,11,6,0,44.75,281
2017-10-10,20,13,6,0,1875,282
2017-10-11,23,16,6,0,0,283
2017-10-12,23,16,5,0,4.25,284
2017-10-13,24,17,4,0,12375,285
2017-10-14,25,17,3,0,0,286
2017-10-15,27,19,4,0,0,287
2017-10-16,26,19,4,0,2.75,288
2017-10-17,24,17,5,0,1375,289
2017-10-18,23,16,5,0,0,290
2017-10-19,22,16,5,0,24.25,291
2017-10-20,21,16,5,0,16.75,292
2017-10-21,21,16,9,5.9,24375,293
2017-10-22,12,10,6,22.7,61,294
2017-10-23,13,8,8,5.6,57.25,295
2017-10-24,19,10,7,0,1875,296
2017-10-25,23,14,3,0,8.5,297
2017-10-26,25,15,3,0,24875,298
2017-10-27,17,14,11,0.7,12625,299
2017-10-28,14,8,8,0,23.75,300
2017-10-29,12,7,5,0.5,40.75,301
2017-10-30,13,7,9,0.3,45.5,302
2017-10-31,16,7,5,0,3.25,303
2017-11-01,18,10,3,0,13.75,304
2017-11-02,17,11,5,0,37.25,305
2017-11-03,19,12,3,0,12125,306
2017-11-04,18,12,5,0.1,39.5,307
2017-11-05,9,8,8,45.1,90,308
2017-11-06,7,4,15,5.6,82.25,309
2017-11-07,7,5,6,0.2,87875,310
2017-11-08,7,4,3,2.6,88.25,311
2017-11-09,7,5,6,0.9,89.25,312
2017-11-10,9,5,4,1.2,83,313
2017-11-11,9,7,5,15.9,87125,314
2017-11-12,12,9,13,44.2,93.5,315
2017-11-13,5,4,20,6.3,73,316
2017-11-14,8,3,8,0,12.5,317
2017-11-15,10,5,5,0,11.5,318
2017-11-16,10,6,5,0,47.75,319
2017-11-17,9,3,6,0,8.75,320
2017-11-18,10,4,6,0,8625,321
2017-11-19,9,4,4,0.2,45625,322
2017-11-20,10,4,4,0,5,323
2017-11-21,13,6,4,0,16.5,324
2017-11-22,17,9,5,0,2625,325
2017-11-23,14,8,7,0,21,326
2017-11-24,14,9,5,0.2,41.5,327
2017-11-25,8,7,5,42.6,81375,328
2017-11-26,5,2,5,2.3,60875,329
2017-11-27,6,2,3,0,18.5,330
2017-11-28,8,4,5,2,44.75,331
2017-11-29,5,3,4,6.7,77375,332
2017-11-30,3,1,5,7.2,94.25,333
2017-12-01,1,0,6,11.2,87.5,334
2017-12-02,2,-2,8,0,66.5,335
2017-12-03,1,-2,6,0.2,43.5,336
2017-12-04,4,-2,4,0,35375,337
2017-12-05,5,-1,4,0,17125,338
2017-12-06,9,2,2,0,0.75,339
2017-12-07,10,4,5,0,16,340
2017-12-08,5,4,6,53.9,95875,341
2017-12-09,1,0,5,13,75625,342
2017-12-10,6,3,10,51.6,95.25,343
2017-12-11,8,7,6,50.9,94.25,344
2017-12-12,4,3,5,13.4,72125,345
2017-12-13,5,-1,7,13,43625,346
2017-12-14,8,7,15,30.4,88,347
2017-12-15,5,4,6,24,79.5,348
2017-12-16,3,2,6,22.7,86.75,349
2017-12-17,3,-1,4,1.9,60.75,350
2017-12-18,4,-1,6,14.5,79625,351
2017-12-19,3,-3,4,0.1,31.5,352
2017-12-20,4,-1,3,0.2,56625,353
2017-12-21,5,0,3,0,23125,354
2017-12-22,7,2,4,0.2,59.25,355
2017-12-23,6,0,4,0.1,43.25,356
2017-12-24,9,3,3,0,2,357
2017-12-25,9,3,5,0,35.75,358
2017-12-26,6,3,6,6.4,56.5,359
2017-12-27,6,4,9,17.9,86.5,360
2017-12-28,2,1,5,18.9,76875,361
2017-12-29,3,-5,6,8.8,52,362
2017-12-30,7,5,8,67.8,98625,363
2017-12-31,9,4,6,2.3,48.75,364
