DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,PRECIP_TOTAL_DAY_MM,CLOUDCOVER_AVG_PERCENT,IndexDate
2018-05-24,25,12,7,0.3,23.5,508
2018-05-25,29,14,5,0,11125,509
2018-05-26,26,14,5,0.7,41,510
2018-05-27,30,14,6,0.8,60625,511
2018-05-28,24,14,8,6.5,61875,512
2018-05-29,24,15,5,4.3,59875,513
2018-05-30,24,13,6,14.8,67875,514
2018-05-31,21,14,5,18.1,56.75,515
2018-06-01,24,13,7,1.5,30375,516
2018-06-02,27,15,7,0.7,26.25,517
2018-06-03,26,15,6,26.4,78,518
2018-06-04,23,15,6,15,73875,519
2018-06-05,26,15,6,9.9,65375,520
2018-06-06,25,15,6,17.5,72875,521
2018-06-07,25,15,5,5.7,67125,522
2018-06-08,25,15,5,3.5,71.5,523
2018-06-09,28,16,6,4.9,51625,524
2018-06-10,30,17,10,0.5,22,525
2018-06-11,26,15,7,16.7,55.75,526
2018-06-12,20,15,5,14.9,78875,527
2018-06-13,16,11,10,8.1,85,528
2018-06-14,22,11,10,0.1,64375,529
2018-06-15,24,13,9,0,51625,530
2018-06-16,25,14,8,2,42,531
2018-06-17,20,15,6,4,86875,532
2018-06-18,24,13,9,0.3,56625,533
2018-06-19,29,14,8,0,21.25,534
2018-06-20,30,17,6,1.8,43625,535
2018-06-21,30,20,9,0.6,27.25,536
2018-06-22,24,14,17,1.7,54625,537
2018-06-23,25,14,10,0,10125,538
2018-06-24,25,14,10,0.5,46375,539
2018-06-25,26,14,12,0.1,21.25,540
2018-06-26,28,16,8,0,4375,541
2018-06-27,28,18,11,0,1625,542
2018-06-28,27,17,8,0,1.75,543
2018-06-29,28,15,5,0.1,21.25,544
2018-06-30,32,17,5,0,7375,545
2018-07-01,35,29,6,0,3,546
2018-07-02,32,26,8,0.4,12875,547
2018-07-03,30,25,7,16.5,81.75,548
2018-07-04,33,27,5,7.8,41.5,549
2018-07-05,23,19,7,37.5,77375,550
2018-07-06,25,19,11,6.1,73625,551
2018-07-07,28,22,12,0,6875,552
2018-07-08,29,24,12,0,12875,553
2018-07-09,29,23,11,0,13125,554
2018-07-10,27,22,10,0,25125,555
2018-07-11,26,18,10,0.1,46375,556
2018-07-12,28,21,6,0,20125,557
2018-07-13,30,24,7,0,5125,558
2018-07-14,33,26,9,1.7,35.5,559
2018-07-15,32,26,8,4.4,49375,560
2018-07-16,30,23,10,5.6,41.25,561
2018-07-17,27,23,9,0.7,55.25,562
2018-07-18,31,24,6,0,6.75,563
2018-07-19,31,25,7,0.2,29,564
2018-07-20,33,27,6,3.5,34.75,565
2018-07-21,25,18,8,15.5,81125,566
2018-07-22,27,21,13,1,30625,567
2018-07-23,29,22,11,0,20.5,568
2018-07-24,31,25,7,0,12875,569
2018-07-25,31,25,8,0,14,570
2018-07-26,31,24,8,1.2,26.75,571
2018-07-27,31,25,7,0.9,39375,572
2018-07-28,32,26,8,0.1,20.25,573
2018-07-29,33,27,8,0,12625,574
2018-07-30,32,26,8,0,12.25,575
2018-07-31,34,27,6,0,12.25,576
2018-08-01,35,7,5,0,5.25,577
2018-08-02,36,22,5,0.5,15.5,578
2018-08-03,36,22,6,0.9,22.75,579
2018-08-04,34,22,9,1.1,38.25,580
2018-08-05,34,28,8,0.1,16625,581
2018-08-06,34,27,5,9,47375,582
2018-08-07,33,27,10,6,49625,583
2018-08-08,32,26,8,6.1,42625,584
2018-08-09,25,22,5,20,57.25,585
2018-08-10,26,20,7,4,43.75,586
2018-08-11,27,21,9,0,5125,587
2018-08-12,31,24,10,0,5.75,588
2018-08-13,26,20,9,15.4,58625,589
2018-08-14,23,18,9,12.7,73375,590
2018-08-15,28,21,9,0.1,25.5,591
2018-08-16,30,25,7,0.3,22875,592
2018-08-17,26,22,8,11.5,49625,593
2018-08-18,26,21,8,1.3,53375,594
2018-08-19,27,22,8,2.2,63,595
2018-08-20,29,22,10,1.2,25375,596
2018-08-21,30,22,6,0.9,20875,597
2018-08-22,31,25,6,2.1,31625,598
2018-08-23,31,25,6,2.8,28.25,599
2018-08-24,22,17,7,16,76375,600
2018-08-25,16,15,6,2.8,67625,601
2018-08-26,23,15,8,0.3,23.25,602
2018-08-27,28,20,6,0,5.25,603
2018-08-28,31,23,4,0,14125,604
2018-08-29,25,23,7,15.4,40125,605
2018-08-30,21,16,7,5.3,79,606
2018-08-31,21,17,8,3.1,78625,607
2018-09-01,20,15,14,1.3,73.25,608
2018-09-02,23,16,8,0,20.75,609
2018-09-03,24,19,6,0.2,42875,610
2018-09-04,26,19,6,0,30.5,611
2018-09-05,28,22,6,0,7875,612
2018-09-06,23,19,4,33,62375,613
2018-09-07,22,17,6,6.3,70.5,614
2018-09-08,27,19,5,0,4.75,615
2018-09-09,28,22,5,3.1,33,616
2018-09-10,29,22,8,0.4,36125,617
2018-09-11,32,23,4,0,2,618
2018-09-12,30,24,7,0.7,20.5,619
2018-09-13,28,23,7,4.1,55375,620
2018-09-14,23,19,7,4.1,67875,621
2018-09-15,25,18,8,0.1,35.75,622
2018-09-16,26,20,6,0,31625,623
2018-09-17,29,22,5,0,11.75,624
2018-09-18,28,22,6,1.4,28.75,625
2018-09-19,29,23,6,0.4,22.75,626
2018-09-20,30,22,5,0,5125,627
2018-09-21,28,23,8,0.8,34.5,628
2018-09-22,24,14,6,1.5,52.75,629
2018-09-23,27,21,7,5,39.25,630
2018-09-24,18,12,15,12.4,31875,631
2018-09-25,21,13,6,0,11875,632
2018-09-26,25,18,4,0,4125,633
2018-09-27,29,19,4,0,375,634
2018-09-28,25,20,8,0,6,635
2018-09-29,22,15,7,0,21375,636
2018-09-30,23,18,8,2.4,29875,637
2018-10-01,13,11,14,12.9,77,638
2018-10-02,16,9,11,0,25,639
2018-10-03,20,12,11,0,28.5,640
2018-10-04,23,14,5,0,10.5,641
2018-10-05,25,18,5,0,7.75,642
2018-10-06,23,18,9,0,19,643
2018-10-07,15,12,5,10.4,77.75,644
2018-10-08,21,15,7,0,29.5,645
2018-10-09,25,17,5,0,8375,646
2018-10-10,26,18,5,0.1,17625,647
2018-10-11,24,17,5,6.8,42375,648
2018-10-12,24,19,5,0,12625,649
2018-10-13,24,18,6,0,10.75,650
2018-10-14,24,17,4,0,35625,651
2018-10-15,23,16,5,0.4,47875,652
2018-10-16,22,17,5,0.1,22.75,653
2018-10-17,22,17,6,0,14.25,654
2018-10-18,22,16,6,0,12125,655
2018-10-19,23,16,5,0,9.5,656
2018-10-20,23,15,7,0,4.75,657
2018-10-21,21,13,8,0,6125,658
2018-10-22,18,12,7,0,3.25,659
2018-10-23,18,11,8,0,3625,660
2018-10-24,19,11,10,0,8375,661
2018-10-25,21,14,5,0,4875,662
2018-10-26,20,13,4,0,13.75,663
2018-10-27,10,7,5,33.3,93375,664
2018-10-28,9,6,6,2.8,89625,665
2018-10-29,8,5,6,14.3,92875,666
2018-10-30,8,4,6,21.7,62875,667
2018-10-31,16,7,5,0,33875,668
2018-11-01,14,10,5,6.6,80375,669
2018-11-02,14,9,7,0.1,58125,670
2018-11-03,13,8,6,0,39.5,671
2018-11-04,18,12,4,0,22375,672
2018-11-05,19,13,4,0,19.5,673
2018-11-06,12,10,7,9.8,47.5,674
2018-11-07,15,10,5,0.7,27.25,675
2018-11-08,15,10,4,14.8,59,676
2018-11-09,16,10,3,0,29.75,677
2018-11-10,15,10,4,0.7,41,678
2018-11-11,19,13,5,1.1,35125,679
2018-11-12,20,13,7,0,11.75,680
2018-11-13,18,12,3,0,15.75,681
2018-11-14,19,13,3,0,5125,682
2018-11-15,17,12,3,0,3.75,683
2018-11-16,17,11,4,0,4625,684
2018-11-17,13,8,3,0,17.75,685
2018-11-18,12,8,5,0,1125,686
2018-11-19,6,2,5,0.5,46625,687
2018-11-20,8,5,5,1.5,59,688
2018-11-21,7,4,3,14.7,78375,689
2018-11-22,12,6,3,0,17375,690
2018-11-23,8,6,5,10.9,59125,691
2018-11-24,11,7,3,22.2,53125,692
2018-11-25,10,6,5,5,33625,693
2018-11-26,7,5,5,0.9,80625,694
2018-11-27,6,4,6,4.8,75125,695
2018-11-28,10,4,3,0,29125,696
2018-11-29,13,7,4,0,28,697
2018-11-30,9,6,4,4.2,85375,698
2018-12-01,10,6,2,0.1,56.25,699
2018-12-02,10,7,6,53.4,94.5,700
2018-12-03,14,11,8,36.1,92,701
2018-12-04,13,10,3,22.3,66375,702
2018-12-05,13,6,4,0,42.5,703
2018-12-06,11,8,3,37.4,75875,704
2018-12-07,13,8,5,5.5,51.25,705
2018-12-08,7,5,7,13.6,81.5,706
2018-12-09,9,8,13,33.4,96,707
2018-12-10,8,6,5,26,78.75,708
2018-12-11,8,4,5,0.5,20,709
2018-12-12,6,2,4,0,6375,710
2018-12-13,7,2,5,0,22,711
2018-12-14,6,2,5,0,27.25,712
2018-12-15,5,0,2,1.4,50625,713
2018-12-16,7,5,6,30.7,90.25,714
2018-12-17,7,5,5,11.2,70625,715
2018-12-18,11,4,4,0,18375,716
2018-12-19,7,5,4,25.4,70875,717
2018-12-20,8,4,6,4,52375,718
2018-12-21,7,5,8,48.3,80375,719
2018-12-22,13,10,6,24,78375,720
2018-12-23,12,6,5,1.3,53.25,721
2018-12-24,10,9,5,9,90375,722
2018-12-25,9,3,4,0,1625,723
2018-12-26,9,3,2,0,21875,724
2018-12-27,9,4,3,0,11125,725
2018-12-28,7,3,4,0,30.25,726
2018-12-29,7,2,5,0,13125,727
2018-12-30,8,2,7,0,8125,728
2018-12-31,8,2,5,0,13,729
