IndexDate,Annee,Mois,Jour,Date,VacancesScolaires
176,2017,06,26,2017-06-26,false
177,2017,06,27,2017-06-27,false
178,2017,06,28,2017-06-28,false
179,2017,06,29,2017-06-29,false
180,2017,06,30,2017-06-30,false
181,2017,07,01,2017-07-01,false
182,2017,07,02,2017-07-02,false
183,2017,07,03,2017-07-03,false
184,2017,07,04,2017-07-04,false
185,2017,07,05,2017-07-05,false
186,2017,07,06,2017-07-06,false
187,2017,07,07,2017-07-07,false
188,2017,07,08,2017-07-08,true
189,2017,07,09,2017-07-09,true
190,2017,07,10,2017-07-10,true
191,2017,07,11,2017-07-11,true
192,2017,07,12,2017-07-12,true
193,2017,07,13,2017-07-13,true
194,2017,07,14,2017-07-14,true
195,2017,07,15,2017-07-15,true
196,2017,07,16,2017-07-16,true
197,2017,07,17,2017-07-17,true
198,2017,07,18,2017-07-18,true
199,2017,07,19,2017-07-19,true
200,2017,07,20,2017-07-20,true
201,2017,07,21,2017-07-21,true
202,2017,07,22,2017-07-22,true
203,2017,07,23,2017-07-23,true
204,2017,07,24,2017-07-24,true
205,2017,07,25,2017-07-25,true
206,2017,07,26,2017-07-26,true
207,2017,07,27,2017-07-27,true
208,2017,07,28,2017-07-28,true
209,2017,07,29,2017-07-29,true
210,2017,07,30,2017-07-30,true
211,2017,07,31,2017-07-31,true
212,2017,08,01,2017-08-01,true
213,2017,08,02,2017-08-02,true
214,2017,08,03,2017-08-03,true
215,2017,08,04,2017-08-04,true
216,2017,08,05,2017-08-05,true
217,2017,08,06,2017-08-06,true
218,2017,08,07,2017-08-07,true
219,2017,08,08,2017-08-08,true
220,2017,08,09,2017-08-09,true
221,2017,08,10,2017-08-10,true
222,2017,08,11,2017-08-11,true
223,2017,08,12,2017-08-12,true
224,2017,08,13,2017-08-13,true
225,2017,08,14,2017-08-14,true
226,2017,08,15,2017-08-15,true
227,2017,08,16,2017-08-16,true
228,2017,08,17,2017-08-17,true
229,2017,08,18,2017-08-18,true
230,2017,08,19,2017-08-19,true
231,2017,08,20,2017-08-20,true
232,2017,08,21,2017-08-21,true
233,2017,08,22,2017-08-22,true
234,2017,08,23,2017-08-23,true
235,2017,08,24,2017-08-24,true
236,2017,08,25,2017-08-25,true
237,2017,08,26,2017-08-26,true
238,2017,08,27,2017-08-27,true
239,2017,08,28,2017-08-28,true
240,2017,08,29,2017-08-29,true
241,2017,08,30,2017-08-30,true
242,2017,08,31,2017-08-31,true
243,2017,09,01,2017-09-01,true
244,2017,09,02,2017-09-02,true
245,2017,09,03,2017-09-03,true
246,2017,09,04,2017-09-04,false
247,2017,09,05,2017-09-05,false
248,2017,09,06,2017-09-06,false
249,2017,09,07,2017-09-07,false
250,2017,09,08,2017-09-08,false
251,2017,09,09,2017-09-09,false
252,2017,09,10,2017-09-10,false
253,2017,09,11,2017-09-11,false
254,2017,09,12,2017-09-12,false
255,2017,09,13,2017-09-13,false
256,2017,09,14,2017-09-14,false
257,2017,09,15,2017-09-15,false
258,2017,09,16,2017-09-16,false
259,2017,09,17,2017-09-17,false
260,2017,09,18,2017-09-18,false
261,2017,09,19,2017-09-19,false
262,2017,09,20,2017-09-20,false
263,2017,09,21,2017-09-21,false
264,2017,09,22,2017-09-22,false
265,2017,09,23,2017-09-23,false
266,2017,09,24,2017-09-24,false
267,2017,09,25,2017-09-25,false
268,2017,09,26,2017-09-26,false
269,2017,09,27,2017-09-27,false
270,2017,09,28,2017-09-28,false
271,2017,09,29,2017-09-29,false
272,2017,09,30,2017-09-30,false
273,2017,10,01,2017-10-01,false
274,2017,10,02,2017-10-02,false
275,2017,10,03,2017-10-03,false
276,2017,10,04,2017-10-04,false
277,2017,10,05,2017-10-05,false
278,2017,10,06,2017-10-06,false
279,2017,10,07,2017-10-07,false
280,2017,10,08,2017-10-08,false
281,2017,10,09,2017-10-09,false
282,2017,10,10,2017-10-10,false
283,2017,10,11,2017-10-11,false
284,2017,10,12,2017-10-12,false
285,2017,10,13,2017-10-13,false
286,2017,10,14,2017-10-14,false
287,2017,10,15,2017-10-15,false
288,2017,10,16,2017-10-16,false
289,2017,10,17,2017-10-17,false
290,2017,10,18,2017-10-18,false
291,2017,10,19,2017-10-19,false
292,2017,10,20,2017-10-20,false
293,2017,10,21,2017-10-21,true
294,2017,10,22,2017-10-22,true
295,2017,10,23,2017-10-23,true
296,2017,10,24,2017-10-24,true
297,2017,10,25,2017-10-25,true
298,2017,10,26,2017-10-26,true
299,2017,10,27,2017-10-27,true
300,2017,10,28,2017-10-28,true
301,2017,10,29,2017-10-29,true
302,2017,10,30,2017-10-30,true
303,2017,10,31,2017-10-31,true
304,2017,11,01,2017-11-01,true
305,2017,11,02,2017-11-02,true
306,2017,11,03,2017-11-03,true
307,2017,11,04,2017-11-04,true
308,2017,11,05,2017-11-05,true
309,2017,11,06,2017-11-06,false
310,2017,11,07,2017-11-07,false
311,2017,11,08,2017-11-08,false
312,2017,11,09,2017-11-09,false
313,2017,11,10,2017-11-10,false
314,2017,11,11,2017-11-11,false
315,2017,11,12,2017-11-12,false
316,2017,11,13,2017-11-13,false
317,2017,11,14,2017-11-14,false
318,2017,11,15,2017-11-15,false
319,2017,11,16,2017-11-16,false
320,2017,11,17,2017-11-17,false
321,2017,11,18,2017-11-18,false
322,2017,11,19,2017-11-19,false
323,2017,11,20,2017-11-20,false
324,2017,11,21,2017-11-21,false
325,2017,11,22,2017-11-22,false
326,2017,11,23,2017-11-23,false
327,2017,11,24,2017-11-24,false
328,2017,11,25,2017-11-25,false
329,2017,11,26,2017-11-26,false
