DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,OPINION
2017-01-01,10,5,4,2,10,3,0,58,10,1029,0,10,0,4,113,113,113,météo très défavorable
2017-01-02,6,2,4,1,6,-1,0,70,9.375,1023,34,6,0,2,113,122,116,météo très défavorable
2017-01-03,-1,-1,10,-3,-1,-3,0,86,8.625,1027,10.375,0,0,-5,113,113,113,météo très défavorable
2017-01-04,1,-1,8,-3,0,0,0.1,69,9.75,1027,15,1,0,-4,113,113,113,météo très défavorable
2017-01-05,-1,-3,18,-1,-2,-6,0.3,90,8.875,1030,40.125,0,0,-8,332,323,113,météo très défavorable
2017-01-06,-4,-5,9,-5,-4,-8,0,78,10,1033,4.125,0,0,-9,113,113,113,météo très défavorable
2017-01-07,-1,-4,7,-6,-1,-6,0,63,10,1033,6.25,0,0,-6,113,113,113,météo très défavorable
2017-01-08,-1,-2,9,-2,-1,-4,0.5,85,8.75,1031,58.75,0,0,-6,329,326,326,météo très défavorable
2017-01-09,-1,-3,7,-4,-1,-5,0,88,5.625,1029,16.375,0,0,-6,143,113,113,météo très défavorable
2017-01-10,2,-1,5,-2,2,-4,6,97,6,1021,63.25,2,1,-3,116,338,338,météo très défavorable
2017-01-11,3,-2,5,-5,3,-2,1.2,80,7.625,1021,28.875,3,1,-4,143,113,329,météo très défavorable
2017-01-12,8,4,6,1,8,1,7.3,84,9,1022,53.5,8,4,3,113,113,176,météo très défavorable
2017-01-13,1,-4,12,-2,-4,-5,27.2,97,4.25,1014,99.875,2,3,-9,338,371,395,météo très défavorable
2017-01-14,-2,-5,11,-4,-4,-7,19.5,98,2.375,1021,93.25,0,0,-9,338,338,338,météo très défavorable
2017-01-15,-3,-6,9,-10,-3,-9,0.7,92,8,1023,41.25,0,0,-9,113,113,323,météo très défavorable
2017-01-16,-4,-7,11,-10,-4,-9,0.2,92,9.625,1022,18.5,0,0,-11,113,113,323,météo très défavorable
2017-01-17,-5,-9,9,-13,-5,-10,0,93,9,1025,19.25,0,0,-13,113,113,326,météo très défavorable
2017-01-18,-2,-5,7,-11,-2,-8,0,95,5.25,1028,13.875,0,0,-7,143,113,281,météo très défavorable
2017-01-19,2,-3,5,-8,2,-6,0,94,7.875,1031,7.75,2,0,-5,113,113,143,météo très défavorable
2017-01-20,4,-1,6,-5,4,-2,0,94,9,1031,6.875,4,2,-3,113,113,143,météo très défavorable
2017-01-21,5,0,8,-4,5,-1,0,93,10,1031,37.125,5,3,-3,116,113,116,météo très défavorable
2017-01-22,4,0,5,-4,4,1,0,92,9,1027,51.375,4,2,-1,113,119,143,météo très défavorable
2017-01-23,3,-1,5,-5,3,-4,0,95,7.125,1024,47,3,1,-2,116,116,143,météo très défavorable
2017-01-24,-1,-4,7,-9,-1,-7,0,88,6.875,1023,10.625,0,0,-7,113,113,113,météo très défavorable
2017-01-25,-2,-5,5,-11,-2,-4,0,96,4.375,1025,32.625,0,0,-5,260,113,326,météo très défavorable
2017-01-26,5,-1,7,-6,4,2,0,97,7.5,1025,21.125,5,5,-3,113,113,248,météo très défavorable
2017-01-27,6,3,10,1,5,4,0,99,7.5,1024,50.5,6,6,0,113,116,248,météo très défavorable
2017-01-28,8,4,7,2,8,2,0,93,9,1023,48.75,8,6,3,116,119,143,météo très défavorable
2017-01-29,7,3,5,-2,7,1,0,95,7.625,1025,45.125,7,5,2,113,116,248,météo très défavorable
2017-01-30,7,5,8,3,7,6,3.2,91,9.625,1025,46.125,7,6,4,113,116,317,météo très défavorable
2017-01-31,7,4,7,2,4,6,2.4,92,9,1020,48.375,7,6,3,182,116,176,météo très défavorable
2017-02-01,11,6,8,4,11,6,0,93,10,1019,21.375,11,9,4,113,113,113,météo défavorable
2017-02-02,13,7,11,4,13,7,0.1,82,10,1019,17.25,13,8,5,113,113,116,météo correcte
2017-02-03,8,5,11,5,8,5,15.4,90,8,1013,51.25,8,5,2,320,113,176,météo très défavorable
2017-02-04,7,5,23,3,6,6,6.5,85,8.625,1013,51.625,7,4,2,116,317,353,météo très défavorable
2017-02-05,7,5,7,3,6,6,24.2,98,6.375,1011,73.5,7,6,3,335,320,320,météo très défavorable
2017-02-06,2,0,12,-1,1,1,15.5,100,2.75,1017,97.375,2,2,-3,338,338,338,météo très défavorable
2017-02-07,6,2,5,1,5,2,7.8,97,6,1018,76.125,6,4,2,143,176,338,météo très défavorable
2017-02-08,3,0,9,-1,2,2,10.7,99,2.375,1020,100,3,3,-2,332,338,338,météo très défavorable
2017-02-09,1,-2,7,-1,1,-2,2,97,6,1021,83.375,1,1,-3,332,323,332,météo très défavorable
2017-02-10,5,1,4,2,5,1,2.3,92,6.125,1021,45.875,5,2,1,335,116,323,météo très défavorable
2017-02-11,7,2,8,1,7,2,0.3,76,9.875,1022,43.375,7,0,0,113,116,119,météo très défavorable
2017-02-12,11,6,9,3,11,7,0.3,81,9.875,1024,31.25,11,6,4,116,113,113,météo défavorable
2017-02-13,12,6,9,4,12,6,0,81,10,1025,23.75,12,6,5,116,113,116,météo défavorable
2017-02-14,8,6,8,5,8,8,0.3,85,9.875,1033,34.375,8,5,5,317,116,116,météo très défavorable
2017-02-15,10,5,5,4,10,5,0,84,10,1036,29.875,10,4,5,113,116,113,météo très défavorable
2017-02-16,11,6,3,2,11,6,0,82,10,1036,10.75,11,4,6,113,113,113,météo défavorable
2017-02-17,8,3,9,2,8,3,0.1,93,9.375,1031,31.25,8,4,1,113,116,176,météo très défavorable
