IndexPrdVente;CodePrdVente;LibellePrdVente;CodeFamilleVente;LibelleFamilleVente;TauxTva;CodeMC;CodeStatistique
1;;Chambre;CH;CHAMBRE;10;CHAMBRE;CHB
2;FLAMMENATURE;Flammeküsche nature avec lardons;EN;ENTREES;10;RESTAURANT CARTES;REST
3;FLAMMEGRATINEE;Flammeküsche gratin�e;EN;ENTREES;10;RESTAURANT CARTES;REST
4;FLAMMESAVOYARDE;Flammeküsche Savoyarde & V�g�;EN;ENTREES;10;RESTAURANT CARTES;REST
5;DUOTOMATES;Duo de Tomates et Mozzarella;EN;ENTREES;10;RESTAURANT CARTES;REST
6;SALADEESTIVALE;Salade Estivale;EN;ENTREES;10;RESTAURANT CARTES;REST
7;SALADEECHIQUIER;Salade de l'Echiquier;EN;ENTREES;10;RESTAURANT CARTES;REST
8;CARPACCIO;Carpaccio de Boeuf;EN;ENTREES;10;RESTAURANT CARTES;REST
9;TATAKITHON;Tataki de thon et sa salade Wakam�;EN;ENTREES;10;RESTAURANT CARTES;REST
10;FOIEGRAS;Foie Gras de Canard;PV;VIANDES;10;RESTAURANT CARTES;REST
11;ASSIETTEALPAGES;Assiete des Alpages;PV;VIANDES;10;RESTAURANT CARTES;REST
12;POISSON;Notre Poisson de Lac;PO;POISSONS;10;RESTAURANT CARTES;REST
13;QUENELLE;Quenelle de Brochet moul�e;PO;POISSONS;10;RESTAURANT CARTES;REST
14;FRITURE;Petite friture de perchot;PO;POISSONS;10;RESTAURANT CARTES;REST
15;AGNEAU;Souris d'Agneau confite;PV;VIANDES;10;RESTAURANT CARTES;REST
16;TARTARE;Tartare de Boeuf tradition;PV;VIANDES;10;RESTAURANT CARTES;REST
17;REVARD;Le Moelleux du Revard;SP;SPECIALITES;10;RESTAURANT CARTES;REST
18;NOUGATGLACE;Nougat Glac�;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST
19;FROMAGEBLANC;Fromage Blanc en faisselle;TF;FROMAGES;10;RESTAURANT CARTES;REST
20;FROMAGE;L'assiette de Fromage de nos r�gions;TF;FROMAGES;10;RESTAURANT CARTES;REST
21;OEUFNEIGE;Oeuf � la Neige;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST
22;CAFEGOURMAND;Caf� Gourmand;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST
23;THEGOURMAND;Th� Gourmand;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST
24;MOEULLEUXCHOC;Moeulleux au Chocolat;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST
25;SOUPEFRUIT;Soupe de Fruits;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST
26;COUPESALCOOL;Coupes glac�ealcoolis�es;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST
27;COUPESCLASSIQUES;Coupes Classiques;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST
28;BOULEGLACE;La Boule de Glace;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST
29;FETESMAMANS;Menu F�tes de Mamans;ME;MENU;10;RESTAURANT MENUS;REST
30;FETESMERES;Menu F�tes des M�res;ME;MENU;10;RESTAURANT MENUS;REST
31;COTESCATALANES;C�tes Catalanes 75cl;VG;VIN DU LANGUEDOC;20;CAVE;BARA
32;COTESROUSILLON;C�tes du Roussillon 75cl;VG;VIN DU LANGUEDOC;20;CAVE;BARA
33;COTESROUSSILLCINSAUL;C�tes du Roussillon Cincault 75cl;VG;VIN DU LANGUEDOC;20;CAVE;BARA
34;CARIGNAN;Carignan 75cl;VP;VIN DE PROVENCE;20;CAVE;BARA
35;VIOGNIER;Viognier 75cl;VP;VIN DE PROVENCE;20;CAVE;BARA
36;SYRAH;Syrah 75cl;VP;VIN DE PROVENCE;20;CAVE;BARA
37;ROUSSETTECRU;Roussette Cru Marestel 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA
38;ROUSSETTEALTESSE1;Roussette Altesse 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA
39;ROUSSETTEALTESSE2;Roussette Altesse 37,5cl;VS;VIN DE SAVOIE;20;CAVE;BARA
40;PETILLANT;P�tillant Jongieux 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA
41;CHIGNINVIEILLES1;Chignin Vieilles Vignes 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA
42;CHIGNINVIEILLES2;Chignin Vieilles Vignes 37,5cl;VS;VIN DE SAVOIE;20;CAVE;BARA
43;CHIGNINBERGERON1;Chignin Bergeron 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA
44;CHIGNINBERGERON2;Chignin Bergeron 37,5cl;VS;VIN DE SAVOIE;20;CAVE;BARA
45;GAMAYSAVOIE1;Gamay de Savoie 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA
46;GAMAYSAVOIE2;Gamay de Savoie 37,5cl;VS;VIN DE SAVOIE;20;CAVE;BARA
47;MONDEUSE;Mondeuse Arbin 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA
48;GAMAYROSE1;Gamay Ros� 75cl;VS;VIN DE SAVOIE;20;CAVE;BARA
49;GAMAYROSE2;Gamay Ros� 37,5cl;VS;VIN DE SAVOIE;20;CAVE;BARA
50;MUSCAT;Muscat Glintzberg 75cl;VA;VIN ALSACE;20;CAVE;BARA
51;PINOTGRISVT;Pinot Gris V.T 75cl;VA;VIN ALSACE;20;CAVE;BARA
52;PINOTGRISALTENBERG;Pinot Gris Altenberg de Berbieten 75cl;VA;VIN ALSACE;20;CAVE;BARA
53;PINOTBLANC;Pinot Blanc 75cl;VA;VIN ALSACE;20;CAVE;BARA
54;RIESLINGGRAND;Riesling Grand Cru 75cl;VA;VIN ALSACE;20;CAVE;BARA
55;RIESLINGVT;Riesling V.T 75cl;VA;VIN ALSACE;20;CAVE;BARA
56;GEWURZTSGN;Gewurztraminer S.G.N 50cl;VA;VIN ALSACE;20;CAVE;BARA
57;PINOTNOIR;Pinot Noir 75cl;VA;VIN ALSACE;20;CAVE;BARA
58;CHAMPBRUT;Champagne Brut 75cl;VC;VIN CHAMPGANE;20;CAVE;BARA
59;CHAMPBRUTROSE;Champagne Brut Rose 75cl;VC;VIN CHAMPGANE;20;CAVE;BARA
60;ORANGERIE2;L'Orangerie de Carignan 37,5cl;VX;VIN DE BORDEAUX;20;CAVE;BARA
61;PLANTIER2;Ch�teau Le Vieux Plantier 37,5cl;VX;VIN DE BORDEAUX;20;CAVE;BARA
62;METAIRIE1;Ch�teau La Grande M�tairie 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA
63;LAPLAGNOTTE2;Ch�teau Laplagnotte Bellevue 37,5cl;VX;VIN DE BORDEAUX;20;CAVE;BARA
64;LALANDE1;Ch�teau Lalande Borie 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA
65;DULUC1;Ch�teau Duluc St Julien 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA
66;CHEVALIER1;Ch�teau Chevalier de Rauzan Gassies 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA
67;MEDOC1;Ch�teau Le Haut M�doc 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA
68;PAVILLON1;Chateau Pavillon Rouge 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA
69;MONTROSE1;Ch�teau Montrose Gd cru Class� 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA
70;ESTOURNEL1;Cos d'Estournel Gd cru Class� 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA
71;BEAUCAILLOU1;Ch�teau Ducru Beaucaillou 75cl;VX;VIN DE BORDEAUX;20;CAVE;BARA
72;CHABLIS1;Chablis 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA
73;CHABLIS2;Chablis 37,5cl;VB;VIN BOURGOGNE;20;CAVE;BARA
74;RULLY1;Rully 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA
75;PERNAND;Pernand Vergelesses 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA
76;CHOREY;Chorey-Les-Beaune 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA
77;SANTENAY;Santenay 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA
78;ECHEZEAUX;Ech�zeaux 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA
79;VOUGEOT;Clos de Vougeot 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA
80;CORTONGRAND;Corton Grand Cru 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA
81;CORTONCHARLE;Corton Charlemagne 75cl;VB;VIN BOURGOGNE;20;CAVE;BARA
82;VACQUEYRAS1;Vacqueyras Garrigue 75cl;VR;VIN DU RHONE;20;CAVE;BARA
83;VACQUEYRAS2;Vacqueyras Garrigue 37,5cl;VR;VIN DU RHONE;20;CAVE;BARA
84;HERMIT1;Ch�teau Hermit 75cl;VP;VIN DE PROVENCE;20;CAVE;BARA
85;HERMIT2;Ch�teau Hermit 37,5cl;VP;VIN DE PROVENCE;20;CAVE;BARA
86;HERMITAGE;Hermitage 75cl;VR;VIN DU RHONE;20;CAVE;BARA
87;COTESRHONE;C�tes du Rh�nes La Cabotte 75cl;VR;VIN DU RHONE;20;CAVE;BARA
88;GIGONDAS;Gigondas 75cl;VR;VIN DU RHONE;20;CAVE;BARA
89;COTEROTIE;C�te R�tie 75cl;VR;VIN DU RHONE;20;CAVE;BARA
90;COTEROTIETURQUE;C�te R�tie La Turque 75cl;VR;VIN DU RHONE;20;CAVE;BARA
91;MUSCATBEAUMES;Muscat de Beaumes de Venise 75cl;VR;VIN DU RHONE;20;CAVE;BARA
