IndexPrdVente;CodePrdVente;LibellePrdVente;CodeFamilleVente;LibelleFamilleVente;TauxTva;CodeMC;CodeStatistique;pointDeVente
193;EAU1;Eau Min�rale 1/1;EA;EAUX LIMONADE;10;BAR SOFT;BARS;BAR
195;HOEGAARDEN;Hoegaarden Ros� 25cl;BI;BIERES;20;BAR ALCOOL;BARA;BAR
196;TOURTELTWIST;Tourtel Twist 25cl;EA;EAUX LIMONADE;10;BAR SOFT;BARS;BAR
197;LIGNEDEAU;Ligne d'Eau;DEB;DEBOURS;0;DEBOURS;DEB;HOTEL
198;MASSAGESOIN;Massage Soin 0%;DEB;DEBOURS;0;DEBOURS;DEB;HOTEL
199;SUP-SINGLE;Suppl�ment Single;SCH;SUPPL CHAMBRE;10;SUPPLEMENT CHAMBRE;CHB;HOTEL
201;MOJITO;Schwepps Mojito;BARS;BAR SOFT;10;BAR SOFT;BARS;BAR
202;SIROP;Sirop � l'eau;BARS;BAR SOFT;10;BAR SOFT;BARS;BAR
203;STELLA 50CL;S�rieux Stella;BI;BIERES;20;BAR ALCOOL;BARA;BAR
204;LEFFE 50CL;S�rieux Leffe & Hoegaarden;BI;BIERES;20;BAR ALCOOL;BARA;BAR
205;COCKTAILMAISON SA;Cocktail Maison ss alcool;BARS;BAR SOFT;10;BAR SOFT;BARS;BAR
206;GLACE IMPULSION;Glaces impulsions & Cornets;EMP2;VTE EMPORTER 10%;10;VENTE A EMPORTER;VEMP;HOTEL
208;WI*CONF+*3;Chambre Confort +;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
209;WI*CONF+*4;Chambre Confort +;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
210;WI*TRPL*3;Chambre Triple;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
211;WI*QUAD*3;Chambre Quadruple;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
212;WI*QUAD*4;Chambre Quadruple;WI;CHAMBRE IT;10;CHAMBRE RESERVIT;CHB;HOTEL
213;PRELIMINAIRES;Pr�liminaires Lub�ron ros�;VR;VIN DU RHONE;20;CAVE;BARA;BAR
215;IVRE DE TOI;Ivre de Toi Lub�ron blanc;VR;VIN DU RHONE;20;CAVE;BARA;BAR
216;DELIT;D�lit d'Initi� Lub�ron rouge;VR;VIN DU RHONE;20;CAVE;BARA;BAR
217;COLLETINE;Coll�tine Lub�ron ros�e;VR;VIN DU RHONE;20;CAVE;BARA;BAR
218;BANDOL;Bandol Fr�gate ros�e;VP;VIN DE PROVENCE;20;CAVE;BARA;BAR
219;BOULEGLACE2;Les 2 Boules de Glace;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST;RESTAURANT
220;BOULEDEGLACE3;Les 3 Boules de Glace;TP;DESSERTS PATISS;10;RESTAURANT CARTES;REST;RESTAURANT
221;FLAMME KEBAB;Flammeküsche K�bab;EN;ENTREES;10;RESTAURANT CARTES;REST;RESTAURANT
222;CAVIAR;Caviar d'aubergines;EN;ENTREES;10;RESTAURANT CARTES;REST;RESTAURANT
223;GRATINECREVISSES;Gratin d'�crevisses;PO;POISSONS;10;RESTAURANT CARTES;REST;RESTAURANT
224;VERREVINARBIN;Verre de vin d'Arbin;VS;VIN DE SAVOIE;20;CAVE;BARA;BAR
225;LIT*BB;Lit B�b�;CH;CHAMBRE;10;CHAMBRE;CHB;HOTEL
226;BURGER;Burger du boucher;PV;VIANDES;10;RESTAURANT CARTES;REST;RESTAURANT
227;EAU1/2;Eau Min�rale 1/2;EA;EAUX LIMONADE;10;BAR SOFT;BARS;BAR
